Permeability, um^2:	Permeability, mD:	Accuracy criterion E:
0.036256447	36.736664081	923.990417480
0.303029537	307.043163421	83.723983765
0.388588488	393.735342627	31.300855637
0.434118360	439.868257963	15.597614288
0.458568752	464.642494930	8.744226456
0.472760051	479.021758371	5.269217014
0.481572598	487.951027282	3.371735573
0.487244725	493.698281613	2.212538719
0.490866512	497.368039012	1.534521818
0.493036538	499.566807313	1.083073735
0.494360328	500.908130261	0.772538543
0.495222956	501.782183994	0.578569412
0.495755494	502.321775154	0.444554120
0.496083230	502.653852159	0.357336223
0.496285677	502.858980747	0.294129372
0.496412247	502.987227636	0.245679662
0.496495843	503.071930373	0.208879218
0.496547580	503.124352459	0.180806577
0.496576071	503.153220843	0.157995462
0.496586472	503.163759615	0.139362946
0.496585399	503.162672521	0.124334596
0.496576816	503.153975769	0.111920923
0.496562183	503.139149016	0.101403512
0.496543527	503.120245660	0.092397861
0.496522814	503.099258707	0.084602751
0.496501535	503.077698011	0.077782437
0.496479928	503.055805146	0.071725272
0.496459365	503.034969179	0.066289976
0.496439457	503.014797547	0.061387111
0.496420592	502.995682812	0.056940936
0.496402711	502.977564579	0.052906558
0.496384978	502.959597332	0.049233489
0.496368915	502.943321120	0.046475835
0.496353388	502.927588454	0.043370273
0.496338874	502.912882489	0.040519971
0.496325552	502.899384406	0.037905507
0.496313244	502.886913023	0.035029329
0.496301115	502.874622822	0.032835115
0.496290058	502.863419714	0.030809704
0.496279955	502.853182913	0.028932752
0.496270359	502.843459462	0.027197085
0.496261954	502.834943892	0.025579169
0.496253312	502.826186747	0.024081653
0.496245921	502.818697877	0.022677997
0.496238619	502.811299599	0.021377608
0.496232092	502.804686444	0.020157721
0.496226043	502.798556442	0.019019246
0.496219933	502.792366046	0.017959801
0.496214777	502.787141956	0.016967157
0.496209562	502.781857471	0.016192840
0.496205121	502.777358110	0.015363300
0.496200740	502.772919143	0.014343576
0.496196330	502.768449979	0.013640452
0.496192604	502.764675347	0.012859543
0.496189058	502.761081898	0.012184405
0.496185392	502.757367660	0.011557660
0.496182501	502.754438546	0.011014072
0.496179461	502.751358446	0.010404104
0.496176451	502.748308544	0.009936155
